Chromosome,Start_Nucleotide,End_Nucleotide,Peak_ID
chr2,130469367,130469816,all_Chip_RFX1_vs_GRCm38.89_peak_5632
chr12,71113959,71114292,all_Chip_RFX1_vs_GRCm38.89_peak_2108
chr9,37359600,37360102,all_Chip_RFX1_vs_GRCm38.89_peak_9451
chr19,21054136,21054555,all_Chip_RFX1_vs_GRCm38.89_peak_4875
chr19,45837605,45837932,all_Chip_RFX1_vs_GRCm38.89_peak_4994
chr1,34583722,34584064,all_Chip_RFX1_vs_GRCm38.89_peak_66
chr4,18083929,18084290,all_Chip_RFX1_vs_GRCm38.89_peak_6501
chr17,35979395,35979751,all_Chip_RFX1_vs_GRCm38.89_peak_4251
chr18,35867747,35868138,all_Chip_RFX1_vs_GRCm38.89_peak_4568
chr1,135659558,135659886,all_Chip_RFX1_vs_GRCm38.89_peak_431
chr9,119937444,119937780,all_Chip_RFX1_vs_GRCm38.89_peak_9881
chr3,154663739,154664264,all_Chip_RFX1_vs_GRCm38.89_peak_6449
chr2,115036176,115036626,all_Chip_RFX1_vs_GRCm38.89_peak_5547
chr7,68749400,68749805,all_Chip_RFX1_vs_GRCm38.89_peak_8454
chrX,94366717,94367134,all_Chip_RFX1_vs_GRCm38.89_peak_10023
chr14,80895252,80895626,all_Chip_RFX1_vs_GRCm38.89_peak_3200
chr7,118855581,118855930,all_Chip_RFX1_vs_GRCm38.89_peak_8660
chr11,61158180,61158518,all_Chip_RFX1_vs_GRCm38.89_peak_1404
chr12,53033393,53033992,all_Chip_RFX1_vs_GRCm38.89_peak_2051
chr2,5730337,5731019,all_Chip_RFX1_vs_GRCm38.89_peak_5090
chr11,23008172,23008473,all_Chip_RFX1_vs_GRCm38.89_peak_1258
chr2,129801327,129801646,all_Chip_RFX1_vs_GRCm38.89_peak_5625
chr10,128547703,128548057,all_Chip_RFX1_vs_GRCm38.89_peak_1190
chr11,110997176,110997528,all_Chip_RFX1_vs_GRCm38.89_peak_1790
chr3,135692993,135693329,all_Chip_RFX1_vs_GRCm38.89_peak_6380
chr11,70731247,70731693,all_Chip_RFX1_vs_GRCm38.89_peak_1486
chr17,17402526,17402914,all_Chip_RFX1_vs_GRCm38.89_peak_4130
chr9,42471188,42471580,all_Chip_RFX1_vs_GRCm38.89_peak_9477
chr12,40414992,40415384,all_Chip_RFX1_vs_GRCm38.89_peak_2011
chr8,60810876,60811336,all_Chip_RFX1_vs_GRCm38.89_peak_8999
chr8,85926077,85926532,all_Chip_RFX1_vs_GRCm38.89_peak_9103
chr8,33842172,33842648,all_Chip_RFX1_vs_GRCm38.89_peak_8920
chr11,6605939,6606313,all_Chip_RFX1_vs_GRCm38.89_peak_1214
chr1,43730372,43730713,all_Chip_RFX1_vs_GRCm38.89_peak_118
chr3,39062382,39062788,all_Chip_RFX1_vs_GRCm38.89_peak_6000
chr4,154599941,154600343,all_Chip_RFX1_vs_GRCm38.89_peak_7066
chr2,166792368,166792838,all_Chip_RFX1_vs_GRCm38.89_peak_5819
chr16,29944039,29944393,all_Chip_RFX1_vs_GRCm38.89_peak_3850
chr9,31029624,31030014,all_Chip_RFX1_vs_GRCm38.89_peak_9427
chr10,20312866,20313155,all_Chip_RFX1_vs_GRCm38.89_peak_734
chr9,14532259,14532623,all_Chip_RFX1_vs_GRCm38.89_peak_9353
chr1,133136573,133137000,all_Chip_RFX1_vs_GRCm38.89_peak_409
chr13,55327631,55327997,all_Chip_RFX1_vs_GRCm38.89_peak_2629
chr12,80567480,80567805,all_Chip_RFX1_vs_GRCm38.89_peak_2184
chr12,74850412,74850737,all_Chip_RFX1_vs_GRCm38.89_peak_2135
chr16,23274505,23274955,all_Chip_RFX1_vs_GRCm38.89_peak_3825
chr9,64612665,64613339,all_Chip_RFX1_vs_GRCm38.89_peak_9632
chr15,98953432,98953805,all_Chip_RFX1_vs_GRCm38.89_peak_3706
chr16,84735049,84735408,all_Chip_RFX1_vs_GRCm38.89_peak_4003
chr7,80901060,80901398,all_Chip_RFX1_vs_GRCm38.89_peak_8508
chr15,41461505,41462147,all_Chip_RFX1_vs_GRCm38.89_peak_3410
chr12,72535869,72536556,all_Chip_RFX1_vs_GRCm38.89_peak_2129
chr7,139683642,139683993,all_Chip_RFX1_vs_GRCm38.89_peak_8771
chr13,34249356,34249771,all_Chip_RFX1_vs_GRCm38.89_peak_2520
chr2,93462815,93463176,all_Chip_RFX1_vs_GRCm38.89_peak_5475
chr14,32544369,32544811,all_Chip_RFX1_vs_GRCm38.89_peak_2985
chr2,173173112,173173455,all_Chip_RFX1_vs_GRCm38.89_peak_5857
chr4,89427832,89428239,all_Chip_RFX1_vs_GRCm38.89_peak_6695
chr6,29985102,29985464,all_Chip_RFX1_vs_GRCm38.89_peak_7749
chr14,123513381,123513862,all_Chip_RFX1_vs_GRCm38.89_peak_3281
chr2,63914625,63915011,all_Chip_RFX1_vs_GRCm38.89_peak_5365
chr1,170549109,170549510,all_Chip_RFX1_vs_GRCm38.89_peak_569
chr4,104725656,104726012,all_Chip_RFX1_vs_GRCm38.89_peak_6765
chr15,85458502,85458942,all_Chip_RFX1_vs_GRCm38.89_peak_3628
chr18,36793583,36794040,all_Chip_RFX1_vs_GRCm38.89_peak_4582
chr17,35186673,35187018,all_Chip_RFX1_vs_GRCm38.89_peak_4242
chr18,75216690,75217118,all_Chip_RFX1_vs_GRCm38.89_peak_4735
chr19,29044262,29044752,all_Chip_RFX1_vs_GRCm38.89_peak_4918
chr19,30156972,30157360,all_Chip_RFX1_vs_GRCm38.89_peak_4926
chr15,84557666,84557996,all_Chip_RFX1_vs_GRCm38.89_peak_3618
chr2,180117717,180118152,all_Chip_RFX1_vs_GRCm38.89_peak_5875
chr4,134498016,134498434,all_Chip_RFX1_vs_GRCm38.89_peak_6943
chr8,114439305,114439656,all_Chip_RFX1_vs_GRCm38.89_peak_9240
chr9,96324579,96324941,all_Chip_RFX1_vs_GRCm38.89_peak_9748
chr16,97443768,97444121,all_Chip_RFX1_vs_GRCm38.89_peak_4073
chr2,30796521,30796876,all_Chip_RFX1_vs_GRCm38.89_peak_5226
chr10,41822540,41822935,all_Chip_RFX1_vs_GRCm38.89_peak_814
chr13,74025087,74025550,all_Chip_RFX1_vs_GRCm38.89_peak_2711
chr4,129619020,129619310,all_Chip_RFX1_vs_GRCm38.89_peak_6884
chr5,8368114,8368593,all_Chip_RFX1_vs_GRCm38.89_peak_7101
chrX,48016867,48017469,all_Chip_RFX1_vs_GRCm38.89_peak_9973
chr18,84951943,84952345,all_Chip_RFX1_vs_GRCm38.89_peak_4775
chr2,168338424,168338757,all_Chip_RFX1_vs_GRCm38.89_peak_5840
chr15,89312458,89312810,all_Chip_RFX1_vs_GRCm38.89_peak_3657
chr6,142345646,142346062,all_Chip_RFX1_vs_GRCm38.89_peak_8211
chr5,103778553,103778917,all_Chip_RFX1_vs_GRCm38.89_peak_7397
chr8,94917422,94917768,all_Chip_RFX1_vs_GRCm38.89_peak_9164
chr12,8973860,8974236,all_Chip_RFX1_vs_GRCm38.89_peak_1901
chr10,82127749,82128077,all_Chip_RFX1_vs_GRCm38.89_peak_997
chr12,86823843,86824213,all_Chip_RFX1_vs_GRCm38.89_peak_2243
chr7,45785036,45785334,all_Chip_RFX1_vs_GRCm38.89_peak_8391
chr1,177640508,177640884,all_Chip_RFX1_vs_GRCm38.89_peak_607
chr10,45723529,45723941,all_Chip_RFX1_vs_GRCm38.89_peak_835
chr8,95000648,95001044,all_Chip_RFX1_vs_GRCm38.89_peak_9168
chr2,144555728,144556123,all_Chip_RFX1_vs_GRCm38.89_peak_5686
chr4,40722239,40722591,all_Chip_RFX1_vs_GRCm38.89_peak_6553
chr4,41464603,41465025,all_Chip_RFX1_vs_GRCm38.89_peak_6558
chr9,119357375,119357723,all_Chip_RFX1_vs_GRCm38.89_peak_9875
chr13,63627213,63627566,all_Chip_RFX1_vs_GRCm38.89_peak_2686
chr18,62561682,62562063,all_Chip_RFX1_vs_GRCm38.89_peak_4681
chr19,40530280,40530632,all_Chip_RFX1_vs_GRCm38.89_peak_4966
chr5,23581487,23581922,all_Chip_RFX1_vs_GRCm38.89_peak_7134
chr7,111655068,111655426,all_Chip_RFX1_vs_GRCm38.89_peak_8618
chr9,77620489,77620905,all_Chip_RFX1_vs_GRCm38.89_peak_9686
chr12,29698099,29698459,all_Chip_RFX1_vs_GRCm38.89_peak_1965
chr6,29707931,29708282,all_Chip_RFX1_vs_GRCm38.89_peak_7745
chr7,35299620,35300041,all_Chip_RFX1_vs_GRCm38.89_peak_8361
chr7,45162043,45162368,all_Chip_RFX1_vs_GRCm38.89_peak_8385
chr9,99451186,99451611,all_Chip_RFX1_vs_GRCm38.89_peak_9766
chr18,79282362,79282891,all_Chip_RFX1_vs_GRCm38.89_peak_4749
chr5,136627715,136628207,all_Chip_RFX1_vs_GRCm38.89_peak_7579
chr8,83332399,83332851,all_Chip_RFX1_vs_GRCm38.89_peak_9087
chrX,140062720,140063055,all_Chip_RFX1_vs_GRCm38.89_peak_10090
chr7,126377352,126377697,all_Chip_RFX1_vs_GRCm38.89_peak_8693
chr9,62526403,62526876,all_Chip_RFX1_vs_GRCm38.89_peak_9616
chr9,42439482,42439821,all_Chip_RFX1_vs_GRCm38.89_peak_9476
chr18,37217541,37218114,all_Chip_RFX1_vs_GRCm38.89_peak_4583
chr15,78913475,78913862,all_Chip_RFX1_vs_GRCm38.89_peak_3563
chr13,3918090,3918432,all_Chip_RFX1_vs_GRCm38.89_peak_2423
chr8,48278317,48278689,all_Chip_RFX1_vs_GRCm38.89_peak_8976
chr5,140637004,140637393,all_Chip_RFX1_vs_GRCm38.89_peak_7619
chr8,13538905,13539249,all_Chip_RFX1_vs_GRCm38.89_peak_8859
chr2,27442309,27442666,all_Chip_RFX1_vs_GRCm38.89_peak_5190
chr4,123718056,123718428,all_Chip_RFX1_vs_GRCm38.89_peak_6858
chr14,19987027,19987546,all_Chip_RFX1_vs_GRCm38.89_peak_2920
chr1,43098575,43098887,all_Chip_RFX1_vs_GRCm38.89_peak_112
chr19,29254651,29255076,all_Chip_RFX1_vs_GRCm38.89_peak_4921
chr2,117352312,117352702,all_Chip_RFX1_vs_GRCm38.89_peak_5554
chr10,126905833,126906194,all_Chip_RFX1_vs_GRCm38.89_peak_1171
chr15,77245422,77245781,all_Chip_RFX1_vs_GRCm38.89_peak_3551
chr18,38515441,38515823,all_Chip_RFX1_vs_GRCm38.89_peak_4600
chr4,129702477,129702830,all_Chip_RFX1_vs_GRCm38.89_peak_6887
chr5,108758369,108758824,all_Chip_RFX1_vs_GRCm38.89_peak_7419
chr5,66979446,66979851,all_Chip_RFX1_vs_GRCm38.89_peak_7285
chr6,67077491,67077842,all_Chip_RFX1_vs_GRCm38.89_peak_7903
chr10,100487374,100487754,all_Chip_RFX1_vs_GRCm38.89_peak_1101
chr12,116047357,116047858,all_Chip_RFX1_vs_GRCm38.89_peak_2393
chr2,32784240,32784623,all_Chip_RFX1_vs_GRCm38.89_peak_5249
chr4,107830739,107831263,all_Chip_RFX1_vs_GRCm38.89_peak_6785
chr11,54860480,54861127,all_Chip_RFX1_vs_GRCm38.89_peak_1363
chr4,142213470,142213829,all_Chip_RFX1_vs_GRCm38.89_peak_7000
chr5,122799116,122799482,all_Chip_RFX1_vs_GRCm38.89_peak_7499
chr12,85341071,85341533,all_Chip_RFX1_vs_GRCm38.89_peak_2224
chr12,99220280,99220648,all_Chip_RFX1_vs_GRCm38.89_peak_2286
chr1,119837354,119837724,all_Chip_RFX1_vs_GRCm38.89_peak_361
chr3,101604613,101604907,all_Chip_RFX1_vs_GRCm38.89_peak_6227
chr9,49485846,49486498,all_Chip_RFX1_vs_GRCm38.89_peak_9528
chr11,52004142,52004467,all_Chip_RFX1_vs_GRCm38.89_peak_1342
chr12,69198271,69198623,all_Chip_RFX1_vs_GRCm38.89_peak_2089
chr14,120478054,120478387,all_Chip_RFX1_vs_GRCm38.89_peak_3268
chr15,76671472,76671817,all_Chip_RFX1_vs_GRCm38.89_peak_3546
chr2,127831751,127832188,all_Chip_RFX1_vs_GRCm38.89_peak_5609
chr6,88793216,88793610,all_Chip_RFX1_vs_GRCm38.89_peak_7977
chr8,105606661,105606987,all_Chip_RFX1_vs_GRCm38.89_peak_9203
chr9,21430695,21431151,all_Chip_RFX1_vs_GRCm38.89_peak_9371
chr4,133339482,133339865,all_Chip_RFX1_vs_GRCm38.89_peak_6930
chr9,21198069,21198475,all_Chip_RFX1_vs_GRCm38.89_peak_9367
chr12,111409616,111409969,all_Chip_RFX1_vs_GRCm38.89_peak_2368
chr12,86015102,86015464,all_Chip_RFX1_vs_GRCm38.89_peak_2235
chr19,57929042,57929336,all_Chip_RFX1_vs_GRCm38.89_peak_5054
chr4,34603194,34603635,all_Chip_RFX1_vs_GRCm38.89_peak_6535
chr14,20452055,20452403,all_Chip_RFX1_vs_GRCm38.89_peak_2922
chr1,133920804,133921152,all_Chip_RFX1_vs_GRCm38.89_peak_419
chr18,11883433,11883735,all_Chip_RFX1_vs_GRCm38.89_peak_4477
chr8,121579232,121579570,all_Chip_RFX1_vs_GRCm38.89_peak_9277
chr8,10664008,10664349,all_Chip_RFX1_vs_GRCm38.89_peak_8838
chr11,59891882,59892409,all_Chip_RFX1_vs_GRCm38.89_peak_1387
chr19,53165606,53166002,all_Chip_RFX1_vs_GRCm38.89_peak_5024
chr12,32044370,32044763,all_Chip_RFX1_vs_GRCm38.89_peak_1974
chr11,84043367,84043876,all_Chip_RFX1_vs_GRCm38.89_peak_1583
chr19,53944269,53944661,all_Chip_RFX1_vs_GRCm38.89_peak_5033
chr19,5846563,5846865,all_Chip_RFX1_vs_GRCm38.89_peak_4813
chr10,125108876,125109473,all_Chip_RFX1_vs_GRCm38.89_peak_1163
chr8,7667709,7668115,all_Chip_RFX1_vs_GRCm38.89_peak_8825
chr14,28562288,28562630,all_Chip_RFX1_vs_GRCm38.89_peak_2960
chr18,36348460,36348823,all_Chip_RFX1_vs_GRCm38.89_peak_4575
chr9,72672275,72672715,all_Chip_RFX1_vs_GRCm38.89_peak_9670
chr1,167337485,167337954,all_Chip_RFX1_vs_GRCm38.89_peak_553
chr11,89696753,89697130,all_Chip_RFX1_vs_GRCm38.89_peak_1632
chr17,56233892,56234252,all_Chip_RFX1_vs_GRCm38.89_peak_4309
chr7,74130197,74130608,all_Chip_RFX1_vs_GRCm38.89_peak_8468
chr12,113156029,113156401,all_Chip_RFX1_vs_GRCm38.89_peak_2391
chr2,181219801,181220204,all_Chip_RFX1_vs_GRCm38.89_peak_5881
chr4,43492807,43493203,all_Chip_RFX1_vs_GRCm38.89_peak_6569
chr1,183389006,183389380,all_Chip_RFX1_vs_GRCm38.89_peak_642
chr17,36951261,36951653,all_Chip_RFX1_vs_GRCm38.89_peak_4254
chr15,85613400,85613759,all_Chip_RFX1_vs_GRCm38.89_peak_3630
chr18,24112464,24112846,all_Chip_RFX1_vs_GRCm38.89_peak_4516
chr4,132922723,132923100,all_Chip_RFX1_vs_GRCm38.89_peak_6919
chr8,106338002,106338438,all_Chip_RFX1_vs_GRCm38.89_peak_9210
chr7,138229156,138229482,all_Chip_RFX1_vs_GRCm38.89_peak_8761
chr15,82293461,82293820,all_Chip_RFX1_vs_GRCm38.89_peak_3599
chr19,10482788,10483145,all_Chip_RFX1_vs_GRCm38.89_peak_4848
chr2,3332539,3333218,all_Chip_RFX1_vs_GRCm38.89_peak_5074
chr5,125492420,125492738,all_Chip_RFX1_vs_GRCm38.89_peak_7534
chr8,110700263,110700852,all_Chip_RFX1_vs_GRCm38.89_peak_9225
chr8,25544834,25545242,all_Chip_RFX1_vs_GRCm38.89_peak_8898
chr10,40629827,40630192,all_Chip_RFX1_vs_GRCm38.89_peak_807
chr1,139346538,139347068,all_Chip_RFX1_vs_GRCm38.89_peak_453
chr4,119809199,119809577,all_Chip_RFX1_vs_GRCm38.89_peak_6832
chr4,141932749,141933091,all_Chip_RFX1_vs_GRCm38.89_peak_6997
chr10,42287629,42288079,all_Chip_RFX1_vs_GRCm38.89_peak_818
chr10,77978403,77978799,all_Chip_RFX1_vs_GRCm38.89_peak_956
chrX,158317704,158318019,all_Chip_RFX1_vs_GRCm38.89_peak_10117
chrX,7416505,7416883,all_Chip_RFX1_vs_GRCm38.89_peak_9914
chr13,99501363,99501818,all_Chip_RFX1_vs_GRCm38.89_peak_2801
chr8,85025469,85025799,all_Chip_RFX1_vs_GRCm38.89_peak_9099
chr13,99513181,99513558,all_Chip_RFX1_vs_GRCm38.89_peak_2802
chr3,107038627,107039051,all_Chip_RFX1_vs_GRCm38.89_peak_6272
chr3,123810924,123811431,all_Chip_RFX1_vs_GRCm38.89_peak_6343
chr7,12949463,12949789,all_Chip_RFX1_vs_GRCm38.89_peak_8266
chr15,37532001,37532393,all_Chip_RFX1_vs_GRCm38.89_peak_3390
chr15,82144229,82144617,all_Chip_RFX1_vs_GRCm38.89_peak_3594
chr12,4082694,4083082,all_Chip_RFX1_vs_GRCm38.89_peak_1891
chr4,107836795,107837182,all_Chip_RFX1_vs_GRCm38.89_peak_6786
chr15,98093496,98093951,all_Chip_RFX1_vs_GRCm38.89_peak_3698
chr7,43579474,43579786,all_Chip_RFX1_vs_GRCm38.89_peak_8370
chr16,46548199,46548761,all_Chip_RFX1_vs_GRCm38.89_peak_3935
chr5,125578681,125579055,all_Chip_RFX1_vs_GRCm38.89_peak_7535
chr6,71991554,71991905,all_Chip_RFX1_vs_GRCm38.89_peak_7911
chr17,83139085,83139463,all_Chip_RFX1_vs_GRCm38.89_peak_4400
chr18,80261303,80261745,all_Chip_RFX1_vs_GRCm38.89_peak_4750
chr3,108010294,108010686,all_Chip_RFX1_vs_GRCm38.89_peak_6282
chr4,142749953,142750339,all_Chip_RFX1_vs_GRCm38.89_peak_7004
chr9,44591054,44591379,all_Chip_RFX1_vs_GRCm38.89_peak_9493
chr13,34096013,34096380,all_Chip_RFX1_vs_GRCm38.89_peak_2518
chr11,52332787,52333180,all_Chip_RFX1_vs_GRCm38.89_peak_1344
chr2,166180876,166181283,all_Chip_RFX1_vs_GRCm38.89_peak_5809
chr2,27195840,27196177,all_Chip_RFX1_vs_GRCm38.89_peak_5188
chr19,58943199,58943628,all_Chip_RFX1_vs_GRCm38.89_peak_5060
chr4,134102399,134102786,all_Chip_RFX1_vs_GRCm38.89_peak_6939
chr1,53909179,53909547,all_Chip_RFX1_vs_GRCm38.89_peak_138
chr4,97156986,97157356,all_Chip_RFX1_vs_GRCm38.89_peak_6713
chr9,21149886,21150210,all_Chip_RFX1_vs_GRCm38.89_peak_9366
chr4,130552379,130552697,all_Chip_RFX1_vs_GRCm38.89_peak_6898
chr11,71054956,71055328,all_Chip_RFX1_vs_GRCm38.89_peak_1488
chr4,118276531,118276849,all_Chip_RFX1_vs_GRCm38.89_peak_6818
chr2,156196326,156196787,all_Chip_RFX1_vs_GRCm38.89_peak_5741
chr11,88455042,88455475,all_Chip_RFX1_vs_GRCm38.89_peak_1621
chr10,91384464,91384929,all_Chip_RFX1_vs_GRCm38.89_peak_1050
chr16,16829143,16829587,all_Chip_RFX1_vs_GRCm38.89_peak_3790
chr9,108566738,108567125,all_Chip_RFX1_vs_GRCm38.89_peak_9831
chr6,48534331,48534710,all_Chip_RFX1_vs_GRCm38.89_peak_7830
chr12,52699109,52699467,all_Chip_RFX1_vs_GRCm38.89_peak_2048
chr13,47842326,47842802,all_Chip_RFX1_vs_GRCm38.89_peak_2590
chr1,35469183,35469572,all_Chip_RFX1_vs_GRCm38.89_peak_73
chr3,106684731,106685095,all_Chip_RFX1_vs_GRCm38.89_peak_6268
chr15,88408287,88408628,all_Chip_RFX1_vs_GRCm38.89_peak_3651
chr1,66655194,66655545,all_Chip_RFX1_vs_GRCm38.89_peak_193
chr11,54530364,54530764,all_Chip_RFX1_vs_GRCm38.89_peak_1360
chr11,119989118,119989484,all_Chip_RFX1_vs_GRCm38.89_peak_1862
chr2,157303008,157303494,all_Chip_RFX1_vs_GRCm38.89_peak_5754
chr18,60719908,60720259,all_Chip_RFX1_vs_GRCm38.89_peak_4666
chr7,100283284,100283743,all_Chip_RFX1_vs_GRCm38.89_peak_8576
chr11,117436744,117437111,all_Chip_RFX1_vs_GRCm38.89_peak_1838
chr10,89395908,89396216,all_Chip_RFX1_vs_GRCm38.89_peak_1042
chr12,32717432,32717857,all_Chip_RFX1_vs_GRCm38.89_peak_1977
chr3,136349747,136350106,all_Chip_RFX1_vs_GRCm38.89_peak_6381
chr11,49243552,49243963,all_Chip_RFX1_vs_GRCm38.89_peak_1333
chr8,91051001,91051378,all_Chip_RFX1_vs_GRCm38.89_peak_9130
chr15,76993156,76993520,all_Chip_RFX1_vs_GRCm38.89_peak_3549
chr10,81401616,81402091,all_Chip_RFX1_vs_GRCm38.89_peak_994
chr2,162973584,162973957,all_Chip_RFX1_vs_GRCm38.89_peak_5778
chr6,136827536,136827841,all_Chip_RFX1_vs_GRCm38.89_peak_8193
chr10,59503941,59504288,all_Chip_RFX1_vs_GRCm38.89_peak_872
chr8,60648906,60649239,all_Chip_RFX1_vs_GRCm38.89_peak_8998
chr8,126517130,126517513,all_Chip_RFX1_vs_GRCm38.89_peak_9308
chr3,65563930,65564340,all_Chip_RFX1_vs_GRCm38.89_peak_6081
chr12,80062314,80062976,all_Chip_RFX1_vs_GRCm38.89_peak_2175
chr4,132165733,132166045,all_Chip_RFX1_vs_GRCm38.89_peak_6915
chr14,109679267,109679706,all_Chip_RFX1_vs_GRCm38.89_peak_3246
chr13,45917614,45918009,all_Chip_RFX1_vs_GRCm38.89_peak_2577
chr8,116504795,116505136,all_Chip_RFX1_vs_GRCm38.89_peak_9244
chr12,117761699,117762051,all_Chip_RFX1_vs_GRCm38.89_peak_2412
chr13,58832022,58832429,all_Chip_RFX1_vs_GRCm38.89_peak_2660
chr4,119717479,119717900,all_Chip_RFX1_vs_GRCm38.89_peak_6831
chr9,114639966,114640282,all_Chip_RFX1_vs_GRCm38.89_peak_9860
chr3,94484151,94484452,all_Chip_RFX1_vs_GRCm38.89_peak_6187
chr4,57993210,57993694,all_Chip_RFX1_vs_GRCm38.89_peak_6620
chr9,41612079,41612455,all_Chip_RFX1_vs_GRCm38.89_peak_9472
chr15,84065216,84065536,all_Chip_RFX1_vs_GRCm38.89_peak_3613
chr19,42673073,42673500,all_Chip_RFX1_vs_GRCm38.89_peak_4980
chr4,62699287,62699646,all_Chip_RFX1_vs_GRCm38.89_peak_6635
chr5,117493006,117493363,all_Chip_RFX1_vs_GRCm38.89_peak_7474
chr1,55195058,55195407,all_Chip_RFX1_vs_GRCm38.89_peak_142
chr6,39749876,39750230,all_Chip_RFX1_vs_GRCm38.89_peak_7807
chr4,149922354,149922705,all_Chip_RFX1_vs_GRCm38.89_peak_7039
chr8,34386158,34386562,all_Chip_RFX1_vs_GRCm38.89_peak_8924
chr13,30186576,30186918,all_Chip_RFX1_vs_GRCm38.89_peak_2504
chr2,37788529,37788898,all_Chip_RFX1_vs_GRCm38.89_peak_5288
chr14,105483363,105483739,all_Chip_RFX1_vs_GRCm38.89_peak_3238
chr9,4372106,4372513,all_Chip_RFX1_vs_GRCm38.89_peak_9326
chr18,20151429,20151836,all_Chip_RFX1_vs_GRCm38.89_peak_4500
chr1,152455329,152455816,all_Chip_RFX1_vs_GRCm38.89_peak_473
chr8,95054945,95055291,all_Chip_RFX1_vs_GRCm38.89_peak_9169
chr5,138997462,138997792,all_Chip_RFX1_vs_GRCm38.89_peak_7599
chr15,66559612,66559960,all_Chip_RFX1_vs_GRCm38.89_peak_3494
chr10,112059998,112060419,all_Chip_RFX1_vs_GRCm38.89_peak_1133
chr3,87910581,87910885,all_Chip_RFX1_vs_GRCm38.89_peak_6146
chr3,8938167,8938540,all_Chip_RFX1_vs_GRCm38.89_peak_5892
chr18,80715281,80715642,all_Chip_RFX1_vs_GRCm38.89_peak_4754
chr5,137759932,137760284,all_Chip_RFX1_vs_GRCm38.89_peak_7591
chr5,77783907,77784459,all_Chip_RFX1_vs_GRCm38.89_peak_7328
chr8,119661155,119661508,all_Chip_RFX1_vs_GRCm38.89_peak_9257
chr5,123749335,123749694,all_Chip_RFX1_vs_GRCm38.89_peak_7506
chr16,94362149,94362490,all_Chip_RFX1_vs_GRCm38.89_peak_4052
chr11,106801959,106802364,all_Chip_RFX1_vs_GRCm38.89_peak_1759
chr1,133762952,133763327,all_Chip_RFX1_vs_GRCm38.89_peak_414
chr12,85374789,85375283,all_Chip_RFX1_vs_GRCm38.89_peak_2225
chr10,95622980,95623476,all_Chip_RFX1_vs_GRCm38.89_peak_1087
chr11,98294434,98294712,all_Chip_RFX1_vs_GRCm38.89_peak_1686
chr6,37216357,37216815,all_Chip_RFX1_vs_GRCm38.89_peak_7783
chr7,27397578,27397941,all_Chip_RFX1_vs_GRCm38.89_peak_8321
chr3,104600746,104601077,all_Chip_RFX1_vs_GRCm38.89_peak_6253
chr4,154116416,154116760,all_Chip_RFX1_vs_GRCm38.89_peak_7062
chr7,35668059,35668416,all_Chip_RFX1_vs_GRCm38.89_peak_8363
chr12,111691650,111691955,all_Chip_RFX1_vs_GRCm38.89_peak_2375
chr4,107828826,107829173,all_Chip_RFX1_vs_GRCm38.89_peak_6784
chr5,31290890,31291292,all_Chip_RFX1_vs_GRCm38.89_peak_7169
chr7,12977586,12978018,all_Chip_RFX1_vs_GRCm38.89_peak_8267
chr2,21060241,21060581,all_Chip_RFX1_vs_GRCm38.89_peak_5155
chr6,61179794,61180164,all_Chip_RFX1_vs_GRCm38.89_peak_7885
chr3,34201172,34201507,all_Chip_RFX1_vs_GRCm38.89_peak_5967
chr2,57849731,57850062,all_Chip_RFX1_vs_GRCm38.89_peak_5345
chr2,103270652,103270946,all_Chip_RFX1_vs_GRCm38.89_peak_5509
chr3,126557754,126558146,all_Chip_RFX1_vs_GRCm38.89_peak_6348
chr10,127924931,127925291,all_Chip_RFX1_vs_GRCm38.89_peak_1185
chr4,120272258,120272634,all_Chip_RFX1_vs_GRCm38.89_peak_6836
chr16,20169691,20170201,all_Chip_RFX1_vs_GRCm38.89_peak_3812
chr10,127676548,127677091,all_Chip_RFX1_vs_GRCm38.89_peak_1184
chr1,133188024,133188350,all_Chip_RFX1_vs_GRCm38.89_peak_410
chr11,72361724,72362066,all_Chip_RFX1_vs_GRCm38.89_peak_1494
chr6,58933208,58933630,all_Chip_RFX1_vs_GRCm38.89_peak_7877
chr8,64733803,64734083,all_Chip_RFX1_vs_GRCm38.89_peak_9012
chr4,151179014,151179655,all_Chip_RFX1_vs_GRCm38.89_peak_7050
chr11,76846926,76847236,all_Chip_RFX1_vs_GRCm38.89_peak_1528
chr15,64143044,64143439,all_Chip_RFX1_vs_GRCm38.89_peak_3486
chr3,157208968,157209291,all_Chip_RFX1_vs_GRCm38.89_peak_6458
chr4,111719758,111720173,all_Chip_RFX1_vs_GRCm38.89_peak_6803
chr6,35455890,35456309,all_Chip_RFX1_vs_GRCm38.89_peak_7778
chr6,88465180,88465627,all_Chip_RFX1_vs_GRCm38.89_peak_7975
chr2,28699576,28699925,all_Chip_RFX1_vs_GRCm38.89_peak_5204
chr9,108587893,108588257,all_Chip_RFX1_vs_GRCm38.89_peak_9835
chr11,60729176,60729538,all_Chip_RFX1_vs_GRCm38.89_peak_1400
chr8,121687852,121688228,all_Chip_RFX1_vs_GRCm38.89_peak_9279
chr4,123183019,123183367,all_Chip_RFX1_vs_GRCm38.89_peak_6849
chr12,29368365,29368702,all_Chip_RFX1_vs_GRCm38.89_peak_1964
chr16,42546858,42547261,all_Chip_RFX1_vs_GRCm38.89_peak_3905
chr11,86471718,86472080,all_Chip_RFX1_vs_GRCm38.89_peak_1595
